gene_id	gene_name
gene56311	SLC44A4
gene56313	LOC107986588
gene56312	EHMT2
gene56314	TNXB
gene56316	PRRT1
gene56317	LOC100507547
gene56318	PPT2
gene56320	EGFL8
gene56319	PPT2-EGFL8
MIR6721.GL000250.2	MIR6721
gene56322	MIR6721
gene56321	AGPAT1
gene56324	MIR6833
MIR6833.GL000250.2	MIR6833
gene56323	RNF5
gene56325	AGER
gene56326	PBX2
gene56327	GPSM3
gene56328	NOTCH4
gene56330	HNRNPA1P2
gene56329	C6orf10
gene56333	HCG23
gene56334	BTNL2
gene56331	LOC101929163
gene56336	HLA-DRB3
gene56337	LOC102725019
gene56338	HLA-DQA2
MIR3135B.GL000250.2	MIR3135B
gene56339	MIR3135B
gene56340	HLA-DQB2
gene56341	HLA-DOB
gene56342	TAP2
gene56343	PSMB8
gene56344	PSMB8-AS1
gene56345	TAP1
gene56346	PSMB9
gene56347	PPP1R2P1
gene56348	LOC100294145
gene56350	HLA-DMB
gene56351	HLA-DMA
gene56354	RPL32P1
gene56352	HLA-DPA1
gene56353	HLA-DPB1
gene56357	HLA-DPB2
gene56358	LOC105375021
gene56359	LYPLA2P1
gene57891	GPX6
gene57892	GPX5
gene57893	TRI-TAT3-1
gene57895	TRR-TCG5-1
gene57894	LOC107986586
gene57897	TRQ-TTG2-1
gene57898	TRS-GCT4-1
gene57899	TRA-AGC3-1
gene57896	ZBED9
gene57902	TRA-TGC2-1
gene57903	TRT-CGT3-1
gene57901	LOC105374996
gene57904	LINC00533
gene57905	TRA-AGC4-1
gene57906	TRA-CGC2-1
gene57908	TRA-CGC5-1
gene57909	TRA-AGC7-1
gene57910	TRT-AGT3-1
gene57912	TRA-CGC4-1
gene57913	RPSAP2
gene57914	TRR-CCG1-1
gene57915	TRK-TTT7-1
gene57916	TRA-TGC6-1
gene57919	TRA-TGC1-1
gene57920	TRF-GAA1-1
gene57921	TRA-AGC1-1
gene57922	TRA-TGC7-1
gene57923	TRF-GAA3-1
gene57924	TRA-TGC5-1
gene57925	TRF-GAA4-1
gene57926	TRA-AGC2-1
gene57928	RPL13P
gene57927	LINC01623
gene57929	TRA-AGC2-2
gene57930	TRR-CCG1-2
gene57932	TRNAL-CAA
gene57933	HCG14
gene57934	TRIM27
gene57936	TRL-CAA1-2
gene57937	TRQ-CTG1-3
gene57938	TRL-AAG2-2
gene57939	LINC01556
gene57940	TRM-CAT3-1
gene57941	TRK-TTT3-3
gene57942	TRM-CAT3-2
gene57943	KRT18P1
gene57945	TRF-GAA1-2
gene57946	TRE-CTC1-6
gene57947	HCG15
gene57948	TRL-AAG3-1
gene57949	ZNF311
gene57950	LOC105375002
gene57953	OR2W1
gene57952	LOC100129636
gene57955	SAR1AP1
gene57956	OR2B3
gene57957	OR2J1
gene57959	OR2J3
gene57958	LOC105375003
gene57961	OR2J2
gene57966	LOC105375006
gene57964	LOC101929006
gene57971	OR14J1
gene57972	DDX6P1
gene57969	LOC105375005
gene57973	OR5V1
gene57974	OR12D3
gene57975	OR12D2
gene57977	OR12D1
gene57978	OR11A1
gene57979	OR10C1
gene57976	LOC105379641
gene57980	OR2H1
gene57984	MAS1L
gene57985	RPS17P1
gene57983	LOC105375008
gene57986	LOC105375009
gene57987	LINC01015
gene57990	UBD
gene57993	SNORD32B
gene57994	RPL13AP
gene57995	OR2H2
gene57996	GABBR1
gene57997	SUMO2P1
gene57998	MOG
gene57999	ZFP57
gene58003	RPL23AP1
gene58002	HLA-F
gene58005	MICE
gene58006	HCG9P5
gene58004	HLA-F-AS1
gene58007	IFITM4P
gene58008	LOC107987427
gene58009	3.8-1.5
gene58010	HCG4
gene58011	HLA-V
gene58012	RPL7AP7
gene58014	HLA-G
gene58015	HCGVIII-2
gene58016	LOC107987428
gene58017	LOC105375010
gene58018	HCP5B
gene58019	HLA-H
gene58021	LOC112267926
gene58020	HCG4B
gene58024	HLA-A
gene58027	HCG9
gene58030	3.8-1.2
gene58033	HLA-J
gene58034	ETF1P1
gene58031	ZNRD1ASP
gene58035	ZNRD1
gene58036	PPP1R11
gene58037	RNF39
gene58038	TRIM31
gene58039	TRIM31-AS1
gene58040	TRIM40
gene58041	TRIM10
gene58042	TRIM15
gene58044	PAIP1P1
gene58043	TRIM26
gene58047	HLA-L
gene58045	HCG17
gene58048	HCG18
gene58049	TRIM39
gene58050	TRIM39-RPP21
gene58051	RPP21
gene58054	MICC
gene58055	LOC105375012
gene58056	TMPOP1
gene58057	SUCLA2P1
gene58058	RANP1
gene58059	HLA-E
gene58060	LINC02569
gene58061	GNL1
gene58062	PRR3
gene58063	ABCF1-DT
gene58065	MIR877
MIR877.GL000251.2	MIR877
gene58064	ABCF1
gene58066	PPP1R10
gene58067	MRPS18B
gene58069	PTMAP1
gene58068	ATAT1
gene58070	C6orf136
gene58071	DHX16
gene58072	PPP1R18
gene58073	NRM
gene58074	RPL7P4
gene58076	MDC1-AS1
gene58075	MDC1
gene58077	TUBB
gene58078	FLOT1
gene58079	IER3-AS1
gene58080	IER3
gene58082	HCG20
gene58083	LINC00243
gene58084	LINC02570
gene58085	RN7SKP186
gene58087	MIR4640
MIR4640.GL000251.2	MIR4640
gene58086	DDR1
gene58088	GTF2H4
gene58089	VARS2
gene58090	SFTA2
gene58091	DPCR1
gene58092	HCG21
gene58094	MUC21
gene58095	MUC22
gene58096	HCG22
gene58097	RNU6-1133P
gene58098	C6orf15
gene58100	CDSN
gene58101	PSORS1C2
gene58099	PSORS1C1
gene58103	CCHCR1
gene58104	TCF19
gene58105	POU5F1
gene58106	PSORS1C3
gene58107	HCG27
gene58108	HLA-C
gene58110	RPL3P2
gene58111	WASF5P
gene58112	LOC112268328
gene58114	MIR6891
MIR6891.GL000251.2	MIR6891
gene58113	HLA-B
gene58115	DHFRP2
gene58116	LOC107987429
gene58117	MICA-AS1
gene58118	MICA
gene58119	LINC01149
gene58121	HCP5
gene58122	HCG26
gene58123	MICB-DT
gene58124	MICB
gene58125	PPIAP9
gene58126	RPL15P4
gene58127	MCCD1
gene58130	SNORD117
gene58131	SNORD84
gene58129	DDX39B
gene58132	DDX39B-AS1
gene58133	ATP6V1G2
gene58128	ATP6V1G2-DDX39B
gene58134	NFKBIL1
gene58135	LOC100287329
gene58136	LTA
gene58137	TNF
gene58138	LTB
gene58139	LST1
gene58140	NCR3
gene58142	AIF1
gene58144	SNORA38
gene58145	MIR6832
MIR6832.GL000251.2	MIR6832
gene58143	PRRC2A
gene58146	BAG6
gene58147	APOM
gene58148	C6orf47
gene58149	GPANK1
gene58150	CSNK2B
gene58151	LY6G5B
gene58152	LY6G5C
gene58153	LOC105375019
gene58155	LOC105375018
gene58156	MIR4646
MIR4646.GL000251.2	MIR4646
gene58154	ABHD16A
gene58157	LY6G6F
gene58159	LY6G6E
gene58160	LY6G6D
gene58158	LY6G6F-LY6G6D
gene58161	LY6G6C
gene58162	MPIG6B
gene58163	DDAH2
gene58164	CLIC1
gene58165	LOC105375020
gene58167	MSH5
gene58169	SAPCD1
gene58166	MSH5-SAPCD1
gene58170	SAPCD1-AS1
gene58171	VWA7
gene58172	VARS
gene58173	LSM2
gene58174	HSPA1L
gene58175	HSPA1A
gene58176	HSPA1B
gene58178	SNORD48
gene58179	SNORD52
gene58177	C6orf48
gene58180	NEU1
gene58181	SLC44A4
gene58183	LOC107986588
gene58182	EHMT2
gene58185	ZBTB12
gene58186	C2-AS1
gene58184	C2
gene58187	CFB
gene58188	NELFE
gene58189	SKIV2L
gene58190	DXO
gene58191	STK19
gene58192	C4B
gene58193	CYP21A2
gene58194	TNXB
gene58196	ATF6B
gene58197	FKBPL
gene58198	PRRT1
gene58199	LOC100507547
gene58200	PPT2
gene58202	EGFL8
gene58201	PPT2-EGFL8
MIR6721.GL000251.2	MIR6721
gene58204	MIR6721
gene58203	AGPAT1
gene58206	MIR6833
MIR6833.GL000251.2	MIR6833
gene58205	RNF5
gene58207	AGER
gene58208	PBX2
gene58209	GPSM3
gene58210	NOTCH4
gene58213	HNRNPA1P2
gene58212	C6orf10
gene58215	HCG23
gene58216	BTNL2
gene58211	LOC101929163
gene58217	HLA-DRA
gene58220	HLA-DRB3
gene58223	HLA-DRB1
gene58224	HLA-DQA1
gene58225	HLA-DQB1
gene58227	LOC102725019
gene58228	HLA-DQA2
MIR3135B.GL000251.2	MIR3135B
gene58229	MIR3135B
gene58230	HLA-DQB2
gene58231	HLA-DOB
gene58232	TAP2
gene58233	PSMB8
gene58234	PSMB8-AS1
gene58235	TAP1
gene58236	PSMB9
gene58237	PPP1R2P1
gene58238	LOC100294145
gene58240	HLA-DMB
gene58241	HLA-DMA
gene58242	BRD2
gene58243	HLA-DOA
gene58246	RPL32P1
gene58244	HLA-DPA1
gene58245	HLA-DPB1
gene58249	HLA-DPB2
gene58250	LOC105375021
gene58252	HCG24
gene58253	COL11A2
gene58255	RNY4P10
gene58254	RXRB
gene58256	SLC39A7
gene58257	HSD17B8
gene58258	MIR219A1
MIR219A1.GL000251.2	MIR219A1
gene58259	RING1
gene58261	LOC105375022
gene58262	HCG25
gene58263	VPS52
gene58264	RPS18
gene58265	B3GALT4
gene58267	MIR6873
MIR6873.GL000251.2	MIR6873
gene58266	WDR46
gene58269	MIR6834
MIR6834.GL000251.2	MIR6834
gene58268	PFDN6
gene58270	RGL2
gene58271	TAPBP
gene58272	ZBTB22
gene58273	DAXX
gene58274	MYL8P
gene58275	LYPLA2P1
gene58634	TRV-AAC6-1
gene58635	TRR-CCG1-1
gene58636	TRK-TTT7-1
gene58637	TRA-TGC6-1
gene58640	TRA-TGC1-1
gene58641	TRF-GAA1-1
gene58642	TRA-AGC1-1
gene58643	TRF-GAA3-1
gene58644	TRA-TGC5-1
gene58645	TRA-AGC2-1
gene58647	RPL13P
gene58646	LINC01623
gene58648	TRA-AGC2-2
gene58650	TRF-GAA1-2
gene58651	TRE-CTC1-6
gene58652	HCG15
gene58653	TRL-AAG3-1
gene58654	ZNF311
gene58655	LOC105375002
gene58658	OR2W1
gene58657	LOC100129636
gene58660	SAR1AP1
gene58661	OR2B3
gene58662	OR2J1
gene58664	OR2J3
gene58663	LOC105375003
gene58666	OR2J2
gene58669	LOC101929006
gene58675	OR14J1
gene58676	DDX6P1
gene58673	LOC105375005
gene58677	OR12D3
gene58678	OR12D2
gene58680	OR12D1
gene58681	OR11A1
gene58682	OR10C1
gene58679	LOC105379641
gene58683	OR2H1
gene58687	MAS1L
gene58688	RPS17P1
gene58686	LOC105375008
gene58689	LOC105375009
gene58690	LINC01015
gene58693	UBD
gene58696	SNORD32B
gene58697	RPL13AP
gene58698	OR2H2
gene58699	GABBR1
gene58700	SUMO2P1
gene58701	MOG
gene58702	ZFP57
gene58706	RPL23AP1
gene58705	HLA-F
gene58708	MICE
gene58709	HCG9P5
gene58707	HLA-F-AS1
gene58710	IFITM4P
gene58711	LOC107987440
gene58712	3.8-1.5
gene58713	HCG4
gene58714	HLA-V
gene58717	RPL7AP7
gene58720	HLA-G
gene58721	HCGVIII-2
gene58722	LOC105375010
gene58724	3.8-1.4
gene58725	HCP5B
gene58726	HLA-H
gene58727	HCG4B
gene58729	HLA-A
gene58732	HCG9
gene58735	3.8-1.2
gene58738	HLA-J
gene58739	ETF1P1
gene58736	ZNRD1ASP
gene58740	ZNRD1
gene58741	PPP1R11
gene58742	RNF39
gene58743	TRIM31
gene58744	TRIM31-AS1
gene58745	TRIM40
gene58746	TRIM10
gene58747	TRIM15
gene58749	PAIP1P1
gene58748	TRIM26
gene58752	HLA-L
gene58750	HCG17
gene58753	HCG18
gene58754	TRIM39
gene58756	RPP21
gene58755	TRIM39-RPP21
gene58759	MICC
gene58760	LOC105375012
gene58761	TMPOP1
gene58762	SUCLA2P1
gene58763	RANP1
gene58764	HLA-E
gene58765	LINC02569
gene58766	GNL1
gene58767	PRR3
gene58768	ABCF1-DT
gene58770	MIR877
MIR877.GL000252.2	MIR877
gene58769	ABCF1
gene58771	PPP1R10
gene58772	MRPS18B
gene58774	PTMAP1
gene58773	ATAT1
gene58775	C6orf136
gene58776	DHX16
gene58777	PPP1R18
gene58778	NRM
gene58779	RPL7P4
gene58781	MDC1-AS1
gene58780	MDC1
gene58782	TUBB
gene58783	FLOT1
gene58784	IER3-AS1
gene58785	IER3
gene58787	HCG20
gene58788	LINC00243
gene58789	LINC02570
gene58790	RN7SKP186
gene58792	MIR4640
MIR4640.GL000252.2	MIR4640
gene58791	DDR1
gene58793	GTF2H4
gene58794	VARS2
gene58795	SFTA2
gene58796	DPCR1
gene58797	HCG21
gene58799	MUC21
gene58800	MUC22
gene58801	HCG22
gene58802	RNU6-1133P
gene58803	C6orf15
gene58805	CDSN
gene58806	PSORS1C2
gene58804	PSORS1C1
gene58808	CCHCR1
gene58809	TCF19
gene58810	POU5F1
gene58811	PSORS1C3
gene58812	HCG27
gene58813	HLA-C
gene58815	RPL3P2
gene58816	WASF5P
gene58817	LINC02571
gene58818	LOC107984144
gene58819	HCG26
gene58820	MICB-DT
gene58821	MICB
gene58822	PPIAP9
gene58823	RPL15P4
gene58824	MCCD1
gene58827	SNORD117
gene58828	SNORD84
gene58826	DDX39B
gene58829	DDX39B-AS1
gene58830	ATP6V1G2
gene58825	ATP6V1G2-DDX39B
gene58831	NFKBIL1
gene58832	LOC100287329
gene58833	LTA
gene58834	TNF
gene58835	LTB
gene58836	LST1
gene58837	NCR3
gene58839	AIF1
gene58841	SNORA38
gene58842	MIR6832
MIR6832.GL000252.2	MIR6832
gene58840	PRRC2A
gene58843	BAG6
gene58844	APOM
gene58845	C6orf47
gene58846	GPANK1
gene58847	CSNK2B
gene58848	LY6G5B
gene58849	LY6G5C
gene58850	LOC105375019
gene58852	LOC105375018
gene58853	MIR4646
MIR4646.GL000252.2	MIR4646
gene58851	ABHD16A
gene58854	LY6G6F
gene58856	LY6G6E
gene58857	LY6G6D
gene58855	LY6G6F-LY6G6D
gene58858	LY6G6C
gene58859	MPIG6B
gene58860	DDAH2
gene58861	CLIC1
gene58862	LOC105375020
gene58864	MSH5
gene58866	SAPCD1
gene58863	MSH5-SAPCD1
gene58867	SAPCD1-AS1
gene58868	VWA7
gene58869	VARS
gene58870	LSM2
gene58871	HSPA1L
gene58872	HSPA1A
gene58873	HSPA1B
gene58875	SNORD48
gene58876	SNORD52
gene58874	C6orf48
gene58877	NEU1
gene58878	SLC44A4
gene58880	LOC107986588
gene58879	EHMT2
gene58882	ZBTB12
gene58883	C2-AS1
gene58881	C2
gene58884	CFB
gene58886	MIR1236
MIR1236.GL000252.2	MIR1236
gene58885	NELFE
gene58887	SKIV2L
gene58888	DXO
gene58889	STK19
gene58890	C4A
gene58891	CYP21A1P
gene58892	TNXA
gene58893	STK19B
gene58894	C4B
gene58895	CYP21A2
gene58896	TNXB
gene58898	ATF6B
gene58899	FKBPL
gene58900	PRRT1
gene58901	LOC100507547
gene58902	PPT2
gene58903	PPT2-EGFL8
gene58906	HNRNPA1P2
gene58905	C6orf10
gene58908	HCG23
gene58909	BTNL2
gene58904	LOC101929163
gene58910	HLA-DRA
gene58911	LOC100294160
gene58913	LOC112267927
gene58914	HLA-DRB1
gene58915	HLA-DQA1
gene58917	HLA-DQB1-AS1
gene58916	HLA-DQB1
gene58918	LOC102725019
gene58919	HLA-DQA2
MIR3135B.GL000252.2	MIR3135B
gene58920	MIR3135B
gene58921	HLA-DQB2
gene58922	HLA-DOB
gene58923	TAP2
gene58924	PSMB8
gene58925	PSMB8-AS1
gene58926	TAP1
gene58927	PSMB9
gene58928	PPP1R2P1
gene58929	LOC100294145
gene58931	HLA-DMB
gene58933	HLA-DMA
gene58932	BRD2
gene58934	HLA-DOA
gene58937	RPL32P1
gene58935	HLA-DPA1
gene58936	HLA-DPB1
gene58939	HLA-DPB2
gene58940	LOC105375021
gene58942	HCG24
gene58943	COL11A2
gene58945	RNY4P10
gene58944	RXRB
gene58946	SLC39A7
gene58947	HSD17B8
gene58948	MIR219A1
MIR219A1.GL000252.2	MIR219A1
gene58949	RING1
gene58951	LOC105375022
gene58952	HCG25
gene58953	VPS52
gene58954	RPS18
gene58955	B3GALT4
gene58957	MIR6873
MIR6873.GL000252.2	MIR6873
gene58956	WDR46
gene58959	MIR6834
MIR6834.GL000252.2	MIR6834
gene58958	PFDN6
gene58960	RGL2
gene58961	TAPBP
gene58962	ZBTB22
gene58963	DAXX
gene58964	MYL8P
gene59027	TRV-AAC6-1
gene59028	TRR-CCG1-1
gene59029	TRK-TTT7-1
gene59030	TRA-TGC6-1
gene59033	TRA-TGC1-1
gene59034	TRF-GAA1-1
gene59035	TRA-AGC1-1
gene59036	TRF-GAA3-1
gene59037	TRA-TGC5-1
gene59038	TRA-AGC2-1
gene59040	RPL13P
gene59039	LINC01623
gene59041	TRA-AGC2-2
gene59043	TRIM27
gene59044	TRL-CAA1-2
gene59045	TRQ-CTG1-3
gene59046	TRL-AAG2-2
gene59047	LINC01556
gene59048	TRM-CAT3-1
gene59049	TRK-TTT3-3
gene59050	TRM-CAT3-2
gene59051	KRT18P1
gene59053	TRF-GAA1-2
gene59054	TRE-CTC1-6
gene59055	HCG15
gene59056	TRL-AAG3-1
gene59057	ZNF311
gene59058	LOC105375002
gene59061	OR2W1
gene59060	LOC100129636
gene59063	SAR1AP1
gene59064	OR2B3
gene59065	OR2J1
gene59067	OR2J3
gene59066	LOC105375003
gene59069	OR2J2
gene59072	LOC101929006
gene59078	OR14J1
gene59079	DDX6P1
gene59076	LOC105375005
gene59080	OR5V1
gene59081	OR12D3
gene59082	OR12D2
gene59084	OR12D1
gene59085	OR11A1
gene59086	OR10C1
gene59083	LOC105379641
gene59087	OR2H1
gene59091	MAS1L
gene59092	RPS17P1
gene59090	LOC105375008
gene59093	LOC105375009
gene59094	LINC01015
gene59097	UBD
gene59100	SNORD32B
gene59101	RPL13AP
gene59102	OR2H2
gene59103	GABBR1
gene59104	SUMO2P1
gene59105	MOG
gene59106	ZFP57
gene59110	RPL23AP1
gene59109	HLA-F
gene59112	MICE
gene59113	HCG9P5
gene59111	HLA-F-AS1
gene59114	IFITM4P
gene59115	LOC107987443
gene59116	3.8-1.5
gene59117	HCG4
gene59118	HLA-V
gene59121	RPL7AP7
gene59124	HLA-G
gene59125	HCGVIII-2
gene59126	LOC105375010
gene59128	HCP5B
gene59129	HLA-H
gene59133	HCG4B
gene59135	HLA-A
gene59137	HCG9
gene59140	3.8-1.2
gene59143	HLA-J
gene59144	ETF1P1
gene59141	ZNRD1ASP
gene59145	ZNRD1
gene59146	PPP1R11
gene59147	RNF39
gene59148	TRIM31
gene59149	TRIM31-AS1
gene59150	TRIM40
gene59151	TRIM10
gene59152	TRIM15
gene59154	PAIP1P1
gene59153	TRIM26
gene59156	HLA-L
gene59155	HCG17
gene59157	HCG18
gene59158	TRIM39
gene59160	RPP21
gene59159	TRIM39-RPP21
gene59163	MICC
gene59164	LOC105375012
gene59165	TMPOP1
gene59166	SUCLA2P1
gene59167	RANP1
gene59168	HLA-E
gene59169	LINC02569
gene59170	GNL1
gene59171	PRR3
gene59172	ABCF1-DT
gene59174	MIR877
MIR877.GL000253.2	MIR877
gene59173	ABCF1
gene59175	PPP1R10
gene59176	MRPS18B
gene59178	PTMAP1
gene59177	ATAT1
gene59179	C6orf136
gene59180	DHX16
gene59181	PPP1R18
gene59182	NRM
gene59183	RPL7P4
gene59185	MDC1-AS1
gene59184	MDC1
gene59186	TUBB
gene59187	FLOT1
gene59188	IER3-AS1
gene59189	IER3
gene59191	HCG20
gene59192	LINC00243
gene59193	LINC02570
gene59194	RN7SKP186
gene59196	MIR4640
MIR4640.GL000253.2	MIR4640
gene59195	DDR1
gene59197	GTF2H4
gene59198	VARS2
gene59199	SFTA2
gene59201	MUC21
gene59202	MUC22
gene59203	HCG22
gene59204	RNU6-1133P
gene59205	C6orf15
gene59207	CDSN
gene59208	PSORS1C2
gene59206	PSORS1C1
gene59210	CCHCR1
gene59211	TCF19
gene59212	POU5F1
gene59213	PSORS1C3
gene59214	HLA-C
gene59216	RPL3P2
gene59217	WASF5P
gene59218	LINC02571
gene59219	LOC107984145
gene59221	MIR6891
MIR6891.GL000253.2	MIR6891
gene59220	HLA-B
gene59222	DHFRP2
gene59225	MICA-AS1
gene59226	MICA
gene59227	LINC01149
gene59228	MICB
gene59229	PPIAP9
gene59230	RPL15P4
gene59231	MCCD1
gene59234	SNORD117
gene59235	SNORD84
gene59233	DDX39B
gene59236	DDX39B-AS1
gene59237	ATP6V1G2
gene59232	ATP6V1G2-DDX39B
gene59238	NFKBIL1
gene59239	LOC100287329
gene59240	LTA
gene59241	TNF
gene59242	LTB
gene59243	LST1
gene59244	NCR3
gene59246	SNORA38
gene59247	MIR6832
MIR6832.GL000253.2	MIR6832
gene59245	PRRC2A
gene59248	BAG6
gene59249	APOM
gene59250	C6orf47
gene59251	GPANK1
gene59252	CSNK2B
gene59253	LY6G5B
gene59254	LY6G5C
gene59255	LOC105375019
gene59257	MIR4646
MIR4646.GL000253.2	MIR4646
gene59256	ABHD16A
gene59258	LY6G6F
gene59260	LY6G6E
gene59261	LY6G6D
gene59259	LY6G6F-LY6G6D
gene59262	LY6G6C
gene59263	MPIG6B
gene59264	DDAH2
gene59265	CLIC1
gene59266	LOC105375020
gene59268	MSH5-SAPCD1
gene59267	MSH5
gene59269	NEU1
gene59271	C2-AS1
gene59270	C2
gene59272	CFB
gene59273	TNXB
gene59275	PRRT1
gene59276	LOC100507547
gene59277	PPT2
gene59279	EGFL8
gene59278	PPT2-EGFL8
MIR6721.GL000253.2	MIR6721
gene59281	MIR6721
gene59280	AGPAT1
gene59283	MIR6833
MIR6833.GL000253.2	MIR6833
gene59282	RNF5
gene59284	AGER
gene59285	PBX2
gene59286	GPSM3
gene59287	NOTCH4
gene59290	HNRNPA1P2
gene59289	C6orf10
gene59292	HCG23
gene59293	BTNL2
gene59288	LOC101929163
gene59294	HLA-DRA
gene59296	HLA-DRB4
gene59298	PRKRAP1
gene59299	LOC100294188
gene59297	LOC112268335
gene59301	HLA-DRB1
gene59302	HLA-DQA1
gene59303	HLA-DQB1
gene59304	HLA-DQA2
MIR3135B.GL000253.2	MIR3135B
gene59305	MIR3135B
gene59306	HLA-DQB2
gene59307	TAP2
gene59308	PSMB8
gene59309	PSMB8-AS1
gene59310	TAP1
gene59311	PSMB9
gene59312	PPP1R2P1
gene59313	LOC100294145
gene59315	HLA-DMB
gene59316	HLA-DMA
gene59317	BRD2
gene59318	HLA-DOA
gene59321	RPL32P1
gene59319	HLA-DPA1
gene59320	HLA-DPB1
gene59324	HLA-DPB2
gene59325	LOC105375021
gene59326	HCG24
gene59327	COL11A2
gene59329	RNY4P10
gene59328	RXRB
gene59330	SLC39A7
gene59331	HSD17B8
gene59332	MIR219A1
MIR219A1.GL000253.2	MIR219A1
gene59333	RING1
gene59335	LOC105375022
gene59337	VPS52
gene59336	HCG25
gene59375	TRV-AAC6-1
gene59376	TRR-CCG1-1
gene59377	TRK-TTT7-1
gene59378	TRA-TGC6-1
gene59381	TRA-TGC1-1
gene59382	TRF-GAA1-1
gene59383	TRA-AGC1-1
gene59384	TRF-GAA3-1
gene59385	TRA-TGC5-1
gene59386	TRF-GAA4-1
gene59387	TRA-AGC2-1
gene59389	RPL13P
gene59388	LINC01623
gene59390	TRA-AGC2-2
gene59391	TRR-CCG1-2
gene59393	TRNAL-CAA
gene59394	HCG14
gene59395	TRIM27
gene59397	TRL-CAA1-2
gene59398	TRQ-CTG1-3
gene59399	TRL-AAG2-2
